Date/Time,EMS:IW North Zone Average Temperature [C](TimeStep),EMS:IW North Zone Average Temperature [C](Hourly),EMS:IW Calculated Heating Demand [KW](TimeStep),EMS:IW Calculated Heating Energy [KWH](Hourly),TEMPHWLOOP SUPPLY SIDE OUTLET:System Node Temperature [C](TimeStep),TEMPHWLOOP DEMAND SIDE INLET BRANCH PIPE OUTLET:System Node Temperature [C](TimeStep) 
 01/01  15:45:00,21.5935694344,,8.0444963002,,31.95878889,31.5294719568
 01/01  15:50:00,21.6111222628,,8.6222293377,,32.3737,31.9708384389
 01/01  15:55:00,21.6209828533,,7.8150671242,,30.88730283,31.6625764561
 01/01  16:00:00,21.6206240236,21.5275260293,6.7491964794,7.7550773839,30.5464315718,31.0248630247
 01/01  16:05:00,21.609724576,,7.8026675415,,31.21600256,30.9682678132
 01/01  16:10:00,21.5897063485,,8.89863888,,31.566,31.2655431841
 01/01  16:15:00,21.5675285082,,9.5516137086,,31.66771111,31.5017700906
 01/01  16:20:00,21.5548906405,,9.5939174446,,31.870558,31.6887271779
 01/01  16:25:00,21.5467489975,,9.5954443172,,32.26613333,31.9603337682
 01/01  16:30:00,21.5451601705,,9.8175925524,,32.74335,32.3446884735
 01/01  16:35:00,21.5487148155,,9.4149737038,,32.18253667,32.3901551386
 01/01  16:40:00,21.5521009148,,8.7560403131,,31.84353333,32.1234241904
 01/01  16:45:00,21.5538419061,,8.4285431206,,31.75291111,31.9049562093
 01/01  16:50:00,21.5555051961,,9.1875491964,,32.67243889,32.1593887751
 01/01  16:55:00,21.53406642,,10.5908210979,,33.22962778,32.7104688056
 01/01  17:00:00,21.5170657839,21.5562545231,11.3152275755,9.4127524543,33.51859444,33.1622510789
 01/01  17:05:00,21.5043519901,,11.1798047532,,32.99507222,33.1943259892
 01/01  17:10:00,21.4915487663,,10.7301232909,,32.75036667,32.969399242
 01/01  17:15:00,21.4766684468,,10.401065481,,32.59288333,32.765093768
 01/01  17:20:00,21.4526813693,,11.1343773914,,33.53625,33.0154823824
 01/01  17:25:00,21.434652698,,12.9278659732,,35.27205,34.0255591116
 01/01  17:30:00,21.4207332871,,12.522648055,,33.66786111,34.2252214336
 01/01  17:35:00,21.3981406118,,12.155843874,,34.61656111,34.225065055
 01/01  17:40:00,21.3753295509,,12.6555928263,,34.93830789,34.6057451583
 01/01  17:45:00,21.3526669667,,12.9506315218,,35.02718333,34.8580850246
 01/01  17:50:00,21.3317217303,,13.1239877633,,35.24656667,35.0534817234
 01/01  17:55:00,21.313346343,,13.2397400049,,35.35598889,35.2222590851
 01/01  18:00:00,21.2972047859,21.4040872122,15.2498622823,12.3559619348,37.70718333,36.2155141145
 01/01  18:05:00,21.2832571424,,26.619690096,,49.42647278,41.7074357897
 01/01  18:10:00,21.2933878069,,37.2958794141,,52.57607333,47.9829872748
 01/01  18:15:00,21.3387392428,,40.4895545946,,53.75606111,51.449810791
 01/01  18:20:00,21.4133475068,,41.5249717012,,55.57126389,53.6614711067
 01/01  18:25:00,21.5083041681,,43.6608280388,,58.00951667,55.8530803274
 01/01  18:30:00,21.6069483448,,41.0278183786,,53.91882167,55.6918635848
 01/01  18:35:00,21.6990775495,,32.4189898085,,49.8649657509,52.9719833805
 01/01  18:40:00,21.7725298484,,27.7567895126,,48.6062752602,50.451920858
 01/01  18:45:00,21.813703643,,25.8957082895,,47.0280459583,48.6351917583
 01/01  18:50:00,21.8366978573,,24.0599005601,,45.5070848548,46.9970050312
 01/01  18:55:00,21.8472758668,,22.2262627988,,44.0996504944,45.479305104
 01/01  19:00:00,21.8456409487,21.6049091605,20.5828070215,31.9632666845,42.7986649486,44.0748078774
 01/01  19:05:00,21.8330360734,,14.9636279553,,41.8161530051,42.8626777779
 01/01  19:10:00,21.8117310895,,14.5750172324,,40.9591939997,41.8483314857
 01/01  19:15:00,21.7849413657,,14.138354427,,40.0660990769,40.923215381
 01/01  19:20:00,21.7538062,,13.6178151705,,39.2026181382,40.0304825293
 01/01  19:25:00,21.7185513179,,13.0948395144,,38.3733617123,39.1700406403
 01/01  19:30:00,21.6798601072,,12.5260875598,,37.579963679,38.3437407613
 01/01  19:35:00,21.6331063263,,12.0350881964,,36.819172121,37.5515173907
 01/01  19:40:00,21.5848002753,,11.5811668869,,36.0867153528,36.7907546561
 01/01  19:45:00,21.535814039,,11.1485972619,,35.3815091571,36.0589892124
 01/01  19:50:00,21.4868295481,,10.7352290486,,34.7025304812,35.3546846779
 01/01  19:55:00,21.4375839522,,10.3381981224,,34.0487493777,34.6766372113
 01/01  20:00:00,21.3887544391,21.6374012278,9.959892109,12.3928261237,33.4190338372,34.0237189201
 01/01  20:05:00,21.3393398489,,9.5992879757,,32.8122181685,33.3947858592
 01/01  20:10:00,21.2895500554,,9.255312955,,32.2272438448,32.7887208416
 01/01  20:15:00,21.238713113,,9.9279463862,,32.41382222,32.4916368094
 01/01  20:20:00,21.1941750492,,10.336316601,,32.34357778,32.4135481687
 01/01  20:25:00,21.1513043397,,10.4166719868,,32.19232778,32.3094052977
 01/01  20:30:00,21.110257423,,10.4590201589,,32.204,32.2371159386
 01/01  20:35:00,21.0720375863,,10.6670124566,,32.41349117,32.2960812796
 01/01  20:40:00,21.0364069982,,11.1613087014,,32.96602461,32.5858891476
 01/01  20:45:00,21.003186316,,11.5705200372,,33.20891667,32.9287480132
 01/01  20:50:00,20.9725322267,,11.5959899257,,33.17660861,33.1000523047
 01/01  20:55:00,20.9431338678,,11.4416446384,,33.11633639,33.1270479732
 01/01  21:00:00,20.9156826417,21.1055266222,11.3837607799,10.6512327169,33.19301667,33.1495557851
 01/01  21:05:00,20.8899889981,,11.4586354476,,33.59370339,33.3323815982
 01/01  21:10:00,20.8579469371,,11.949185501,,33.89638889,33.620346063
 01/01  21:15:00,20.8337578233,,12.0000909734,,33.81305272,33.7692912653
 01/01  21:20:00,20.8128423943,,11.5157566898,,33.55081344,33.6969921184
 01/01  21:25:00,20.7855019308,,11.1767217825,,33.39044444,33.5393561995
 01/01  21:30:00,20.7581559997,,11.6439543698,,34.00001667,33.6764661797
 01/01  21:35:00,20.7397560792,,12.3344958919,,34.57075,34.1084801612
 01/01  21:40:00,20.7235468927,,12.4658108215,,34.73710556,34.4757289594
 01/01  21:45:00,20.7024811154,,12.0275527659,,34.21395556,34.4456636378
 01/01  21:50:00,20.6813134981,,11.3727645028,,33.80228333,34.135145611
 01/01  21:55:00,20.6599634293,,11.0299033376,,33.64696667,33.8570198376
 01/01  22:00:00,20.6388568194,20.7570093265,11.624127777,11.7165833217,34.34450783,33.9879111778
