Date/Time,EMS:IW North Zone Average Temperature [C](TimeStep),CMU DISTRICTHEATING:District Heating Hot Water Energy [J](Hourly) 
 01/18  18:00:00,23.437101679114,0.0 
 01/18  19:00:00,23.2596086151803,0.0 
 01/18  20:00:00,22.8567304305993,0.0 
 01/18  21:00:00,22.446824566184,0.0 
 01/18  22:00:00,22.1088808666422,0.0 
 01/18  23:00:00,21.8525841276241,0.0 
 01/18  24:00:00,21.6275910381218,0.0 
 01/19  01:00:00,21.3298300400679,0.0 
 01/19  02:00:00,21.0820300238215,0.0 
 01/19  03:00:00,20.8935668080004,0.0 
 01/19  04:00:00,20.7589447652639,0.0 
 01/19  05:00:00,20.6233161443808,0.0 
 01/19  06:00:00,20.4798507083379,0.0 
 01/19  07:00:00,20.3428121070336,1134533674.71718 
 01/19  08:00:00,20.3124661115614,801361911.026125 
 01/19  09:00:00,20.6616917665659,493873952.865017 
 01/19  10:00:00,21.5308107851655,324163104.098808 
 01/19  11:00:00,22.7717538806426,0.0 
 01/19  12:00:00,23.6313405498984,0.0 
 01/19  13:00:00,24.047682500612,0.0 
 01/19  14:00:00,24.1139500138243,0.0 
 01/19  15:00:00,24.2399793392655,0.0 
 01/19  16:00:00,24.5812422398913,0.0 
 01/19  17:00:00,24.9015893945066,0.0 
 01/19  18:00:00,24.9556132440786,0.0 
 01/19  19:00:00,24.8327407767468,0.0 
 01/19  20:00:00,24.4767364804392,0.0 
 01/19  21:00:00,24.0666285599831,0.0 
 01/19  22:00:00,23.7078728575474,0.0 
 01/19  23:00:00,23.3673314572251,0.0 
 01/19  24:00:00,23.0023368812121,0.0 
 01/20  01:00:00,22.6745578611585,0.0 
 01/20  02:00:00,22.43340564861,0.0 
 01/20  03:00:00,22.235619297347,0.0 
 01/20  04:00:00,22.0872788138584,0.0 
 01/20  05:00:00,21.9345492708348,0.0 
 01/20  06:00:00,21.7867451571253,0.0 
 01/20  07:00:00,21.6345037150247,0.0 
 01/20  08:00:00,21.4846532179891,0.0 
 01/20  09:00:00,21.3585668124721,1072943757.3872 
 01/20  10:00:00,21.5521727408927,734131558.307537 
 01/20  11:00:00,22.4420610115203,13413341.0746707 
 01/20  12:00:00,23.5951003086365,0.0 
 01/20  13:00:00,24.1487581071908,0.0 
 01/20  14:00:00,24.3029798460292,0.0 
 01/20  15:00:00,24.4714342622373,0.0 
 01/20  16:00:00,24.4526644384653,0.0 
 01/20  17:00:00,24.330775193001,0.0 
 01/20  18:00:00,24.1371167311665,0.0 
 01/20  19:00:00,23.8759049622963,0.0 
 01/20  20:00:00,23.4125210609172,0.0 
 01/20  21:00:00,22.979192187073,0.0 
 01/20  22:00:00,22.6559643776397,0.0 
 01/20  23:00:00,22.4371155928687,0.0 
 01/20  24:00:00,22.2364638969092,0.0 
 01/21  01:00:00,21.9780472759203,0.0 
 01/21  02:00:00,21.7923184717984,0.0 
 01/21  03:00:00,21.6458669248791,0.0 
 01/21  04:00:00,21.8991874749378,0.0 
 01/21  05:00:00,22.073278821265,0.0 
 01/21  06:00:00,22.0875857243509,0.0 
 01/21  07:00:00,22.058216566674,0.0 
 01/21  08:00:00,22.0246066822434,0.0 
 01/21  09:00:00,21.97533576561,0.0 
 01/21  10:00:00,21.9198929623353,0.0 
 01/21  11:00:00,21.9233283501557,0.0 
 01/21  12:00:00,21.6604042246939,0.0 
 01/21  13:00:00,21.5618350808616,0.0 
 01/21  14:00:00,21.6562800686585,0.0 
 01/21  15:00:00,21.7693907975708,0.0 
 01/21  16:00:00,21.8684880898681,0.0 
 01/21  17:00:00,21.9390320184596,0.0 
 01/21  18:00:00,22.0006258360331,0.0 
 01/21  19:00:00,22.0118972325727,0.0 
 01/21  20:00:00,21.9685262405467,0.0 
 01/21  21:00:00,21.8802476824171,0.0 
 01/21  22:00:00,21.7740974821563,0.0 
 01/21  23:00:00,21.6378470348541,0.0 
 01/21  24:00:00,21.4932516976626,0.0 
 01/22  01:00:00,21.3785512792503,0.0 
 01/22  02:00:00,21.2905937169451,0.0 
 01/22  03:00:00,21.1884912705102,0.0 
 01/22  04:00:00,21.0780500335369,0.0 
 01/22  05:00:00,20.9589595238654,0.0 
 01/22  06:00:00,20.8301960911457,0.0 
 01/22  07:00:00,20.7053694956505,0.0 
 01/22  08:00:00,20.5817696874361,0.0 
 01/22  09:00:00,20.6764753196746,14187079.9089632 
 01/22  10:00:00,20.695665048564,953304970.743193 
 01/22  11:00:00,20.9345449570144,659556013.926842 
 01/22  12:00:00,21.5862198699438,0.0 
 01/22  13:00:00,21.5806026838095,0.0 
 01/22  14:00:00,21.3884696014764,0.0 
 01/22  15:00:00,21.2996107269156,0.0 
 01/22  16:00:00,21.2663683969458,0.0 
 01/22  17:00:00,21.2570808319122,0.0 
 01/22  18:00:00,21.2929049656083,0.0 
 01/22  19:00:00,21.2567194708596,0.0 
 01/22  20:00:00,21.1880653469632,0.0 
 01/22  21:00:00,21.1206197743194,0.0 
 01/22  22:00:00,21.0645574762321,0.0 
 01/22  23:00:00,20.9934290887801,0.0 
 01/22  24:00:00,20.8690292381199,0.0 
 01/23  01:00:00,20.6855772393501,0.0 
 01/23  02:00:00,20.5129605636661,0.0 
 01/23  03:00:00,20.345611760926,0.0 
 01/23  04:00:00,20.1847635651827,0.0 
 01/23  05:00:00,20.076753013793,0.0 
 01/23  06:00:00,20.0054371610491,0.0 
 01/23  07:00:00,19.9287933967516,0.0 
 01/23  08:00:00,19.849617086346,0.0 
 01/23  09:00:00,19.7864076814344,430502144.454753 
 01/23  10:00:00,21.1873573807768,300093040.254022 
 01/23  11:00:00,23.1374532219528,0.0 
 01/23  12:00:00,24.1820440191662,0.0 
 01/23  13:00:00,24.5512646738744,0.0 
 01/23  14:00:00,24.5427178738145,0.0 
 01/23  15:00:00,24.4738226854637,0.0 
 01/23  16:00:00,24.6658924879446,0.0 
 01/23  17:00:00,24.7282038794066,0.0 
 01/23  18:00:00,24.6474562678213,0.0 
 01/23  19:00:00,24.442862645645,0.0 
 01/23  20:00:00,23.9680753599178,0.0 
