# # cmbedY,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,mullMetalConductivity,intMass,mullSurfaceArea,elecEquipDensityAll,infilRate
0.000000000000000000e+00,1.850719794999999834e+01,6.054832668999999612e+00,8.250833332999999925e+01,1.590648148000000006e+01,2.355846990750000103e+01,0.000000000000000000e+00,4.199169915726861518e-03,1.300191698053632763e+02,4.841632425300594491e+02,1.359041617801848512e+00,4.936077300993248684e+01,3.679653081064301889e-02
1.641666454169709866e+01,1.211403532000000070e+02,9.106141072000000349e+02,4.175000000000000000e+01,1.367592593000000134e+00,2.337110666829999772e+01,1.000000000000000000e+00,1.625064839087691322e-03,1.509332606336045046e+02,4.470903937673592736e+02,1.531343884069073402e+00,4.001551100168401831e+01,1.755013402629068409e-01
2.181185403341270046e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.354166666999999791e+01,-3.185185184999999919e+00,3.799450194420000315e+01,1.000000000000000000e+00,3.904624405532695301e-03,2.609919895676761712e+02,5.557820547933586113e+02,1.598727561524551088e+00,5.563251780662313628e+00,9.536704870535951672e-02
2.404543948014309862e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.237500000000000000e+01,1.241666667000000057e+00,2.899647242170000183e+01,1.000000000000000000e+00,1.663619922799967378e-03,1.399755536781139540e+02,2.899917024742358080e+02,1.652572587567856743e+00,2.615756186271092432e+01,2.784449653343072373e-01
2.357400930975610009e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.343000000000000682e+01,-5.282777838000000337e+00,3.476616513500000138e+01,1.000000000000000000e+00,2.387110350955412314e-03,6.182877269990746782e+01,6.522516800905931404e+02,1.132367128856925031e+00,4.786300278750093895e+01,7.955189345176499893e-02
2.664852223752160043e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.467499999999999716e+01,-6.740740740000000786e-01,4.656204051000000277e+01,1.000000000000000000e+00,3.981685860188535417e-03,2.999524292403433492e+02,3.109990402991347196e+02,1.490658277383177133e+00,3.727852760014879152e+01,2.561645819209520392e-01
2.563684364787519954e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.075000000000000000e+01,-2.751851851999999710e+00,4.435397347250000166e+01,1.000000000000000000e+00,4.598909108323614818e-03,3.782880289617885410e+02,3.027836243979503479e+02,1.467987048814734408e+00,3.685754824716503464e+01,1.071751017543555312e-01
1.280614864769959915e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.515833333000000493e+01,-1.183333333000000032e+01,4.771991236080000220e+01,1.000000000000000000e+00,4.225798740341213909e-03,7.524353915856717379e+01,2.469068300696837071e+02,1.123360809924400572e+00,2.774201158012183654e+01,5.120530449392553946e-02
8.233416786300299606e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.306666667000000359e+01,1.717592593000000223e+00,3.473589300919999800e+01,1.000000000000000000e+00,3.146513360037239693e-03,1.506236308868141123e+02,3.907701885507648285e+02,1.167298923251585352e+00,2.221102034180806228e+01,2.166748949618570730e-01
9.758867656402349766e+00,9.005295282000000157e+01,1.105789090000000030e-01,9.186666667000000075e+01,5.980555556000000550e+00,3.158094168919999944e+01,1.000000000000000000e+00,1.230986446264573358e-03,1.332641907356020283e+02,3.126698152719960717e+02,1.259806310196467605e+00,1.765600425691012987e+01,1.442735237988319597e-01
