EST,iw north average temp C,iw heating energy J,,,,
19/01/2017 2:00,21.76089001,69872758.2,,,,
19/01/2017 3:00,21.74952499,68363630.928,,,,
19/01/2017 4:00,21.6847649,71300026.008,,,,
19/01/2017 5:00,21.61560804,74010786.408,,,,
19/01/2017 6:00,21.57828689,73061360.892,,,,
19/01/2017 7:00,21.54838421,77339812.176,,,,
19/01/2017 8:00,21.85918741,268103981.016,,,,
19/01/2017 9:00,22.82639911,79931884.428,,,,
19/01/2017 10:00,22.85845261,68692290.156,,,,
19/01/2017 11:00,22.77728003,77365348.74,,,,
19/01/2017 12:00,22.9470856,65593342.26,,,,
19/01/2017 13:00,23.02932857,62076921.48,,,,
19/01/2017 14:00,23.1198622,60942629.988,,,,
19/01/2017 15:00,23.28214902,45624694.644,,,,
19/01/2017 16:00,23.40573695,18175113.882,,,,
19/01/2017 17:00,23.28589834,62710959.888,,,,
19/01/2017 18:00,23.01778994,66038547.708,,,,
19/01/2017 19:00,22.79723872,79675347.348,,,,
19/01/2017 20:00,22.62968168,85537977.696,,,,
19/01/2017 21:00,22.40464513,42088671.432,,,,
19/01/2017 22:00,22.07848452,62000353.584,,,,
19/01/2017 23:00,21.92455811,69800135.22,,,,
20/01/2017 0:00,21.74497435,72534939.984,,,,
20/01/2017 1:00,21.63876797,74822508.504,,,,
20/01/2017 2:00,21.56059246,78339471.228,,,,
20/01/2017 3:00,21.5643309,76132309.248,,,,
20/01/2017 4:00,21.49294532,77995197.288,,,,
20/01/2017 5:00,21.46242381,80635114.548,,,,
20/01/2017 6:00,21.44103325,78442347.996,,,,
20/01/2017 7:00,21.40807948,79700413.608,,,,
20/01/2017 8:00,21.69693858,266685704.316,,,,
20/01/2017 9:00,22.69706808,139432578.3,,,,
20/01/2017 10:00,23.00050242,36196599.456,,,,
20/01/2017 11:00,22.73076163,65185472.52,,,,
20/01/2017 12:00,22.80308136,58591316.124,,,,
20/01/2017 13:00,22.95528573,51537329.568,,,,
20/01/2017 14:00,23.15354987,44941925.916,,,,
20/01/2017 15:00,23.43200279,28040573.2644,,,,
20/01/2017 16:00,23.61295429,11066216.9004,,,,
20/01/2017 17:00,23.57487827,0,,,,
20/01/2017 18:00,23.23308325,0,,,,
20/01/2017 19:00,22.94504955,0,,,,
20/01/2017 20:00,22.70200333,0,,,,
20/01/2017 21:00,22.47305037,0,,,,
20/01/2017 22:00,22.34919092,51309523.188,,,,
20/01/2017 23:00,22.41316947,47593370.34,,,,
21/01/2017 0:00,22.47369242,49214744.208,,,,
21/01/2017 1:00,22.46281041,42628872.78,,,,
21/01/2017 2:00,22.3892713,52452307.296,,,,
21/01/2017 3:00,22.31217731,53391598.488,,,,
21/01/2017 4:00,22.24366663,52311516.192,,,,
21/01/2017 5:00,22.19957715,54567731.052,,,,
21/01/2017 6:00,22.18683638,58879480.644,,,,
21/01/2017 7:00,22.16540081,56536290.216,,,,
21/01/2017 8:00,22.14648948,55430122.86,,,,
21/01/2017 9:00,22.60196096,173592893.376,,,,
21/01/2017 10:00,23.63840749,14951780.7048,,,,
21/01/2017 11:00,24.05065737,5278239.4068,,,,
21/01/2017 12:00,24.3345297,0,,,,
21/01/2017 13:00,24.58178138,0,,,,
21/01/2017 14:00,24.78791772,0,,,,
21/01/2017 15:00,24.93681476,0,,,,
21/01/2017 16:00,24.99347179,0,,,,
21/01/2017 17:00,24.90604727,0,,,,
21/01/2017 18:00,24.63747971,0,,,,
21/01/2017 19:00,24.3740271,0,,,,
21/01/2017 20:00,24.11653479,0,,,,
21/01/2017 21:00,23.79949359,0,,,,
21/01/2017 22:00,23.59364537,0,,,,
21/01/2017 23:00,23.39748189,0,,,,
22/01/2017 0:00,23.20585109,0,,,,
22/01/2017 1:00,23.07759227,45557817.66,,,,
22/01/2017 2:00,23.05897581,32726610.9828,,,,
22/01/2017 3:00,23.00787218,34204014.6804,,,,
22/01/2017 4:00,22.9120125,37001116.944,,,,
22/01/2017 5:00,22.87666187,35802432.6948,,,,
22/01/2017 6:00,22.84414534,38245399.488,,,,
22/01/2017 7:00,22.77735574,40798442.592,,,,
22/01/2017 8:00,22.69204435,43662220.2,,,,
22/01/2017 9:00,22.77420532,65040195.6,,,,
22/01/2017 10:00,23.0304978,43226456.292,,,,
22/01/2017 11:00,23.33445914,23397660.0288,,,,
22/01/2017 12:00,23.59669342,10072219.6908,,,,
22/01/2017 13:00,23.64695309,0,,,,
22/01/2017 14:00,23.73566363,0,,,,
22/01/2017 15:00,23.88796627,0,,,,
