# # iw north average temp C,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode
1.898918643000000017e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.379166666999999791e+01,1.874074074000000145e+00,3.040469793079999761e+01,1.000000000000000000e+00
2.128490417000000079e+01,3.155065676999999980e+01,1.205049405000000036e+02,7.950833332999999925e+01,1.551851851999999976e+00,6.127494060250000274e+01,1.000000000000000000e+00
2.279333029000000010e+01,9.797335397999999884e+01,8.621536270999999942e+02,4.854999999999999716e+01,-1.715277778000000142e+00,4.396730999999999767e+01,1.000000000000000000e+00
2.288055918999999960e+01,2.394892814000000385e+02,1.103499522999999982e+02,5.660000000000000142e+01,-3.550925926000000121e+00,4.452083574249999742e+01,1.000000000000000000e+00
2.231949717999999905e+01,2.674644143000000085e+01,8.733994659999999577e-01,6.983333333000000209e+01,-3.564814799999999756e-02,6.446624902749999819e+01,1.000000000000000000e+00
2.208774976000000123e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.075000000000000000e+01,-2.751851851999999710e+00,4.435397347250000166e+01,1.000000000000000000e+00
2.248228535000000150e+01,9.179880516000000057e+01,3.250491249999999943e-01,9.055833332999999641e+01,1.301620370000000015e+01,2.328795509669999930e+01,0.000000000000000000e+00
2.576516214999999832e+01,6.904493137999999419e+01,2.660563025999999809e+02,5.100833332999999925e+01,2.295879630000000304e+01,2.249938060579999899e+01,0.000000000000000000e+00
2.406452738000000124e+01,5.491616178000000303e+01,6.395418310000000606e-01,9.712500000000000000e+01,1.401203703999999917e+01,2.393563507920000077e+01,0.000000000000000000e+00
2.365832723000000115e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.406666666999999649e+01,1.088564814999999975e+01,2.269752851499999835e+01,1.000000000000000000e+00
2.146014291999999912e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.271666667000000217e+01,6.322685186000000179e+00,3.317869167079999926e+01,1.000000000000000000e+00
2.324817150999999882e+01,8.958625213000000542e+01,8.300976960000000417e+02,2.825000000000000000e+01,1.376805556000000053e+01,2.236049192750000003e+01,1.000000000000000000e+00
2.155344579000000138e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.990000000000000568e+01,6.407407407000000887e+00,2.968593724999999850e+01,1.000000000000000000e+00
2.088184524000000053e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.927499999999999858e+01,-2.661111110999999863e+00,3.973195601829999646e+01,1.000000000000000000e+00
2.160244310000000212e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.854999999999999716e+01,2.366666667000000057e+00,3.563705087999999677e+01,1.000000000000000000e+00
2.243319749000000130e+01,1.467895546999999681e+02,4.178667615999999896e+01,8.444166667000000359e+01,1.015648148000000006e+01,3.140125120329999930e+01,1.000000000000000000e+00
2.505057199999999895e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.549166667000000075e+01,1.517407408000000046e+01,2.462168981499999987e+01,0.000000000000000000e+00
2.228466673000000142e+01,8.574371039000000394e+01,1.920779009999999953e+00,5.859166667000000217e+01,2.380092593000000090e+00,3.588751956419999800e+01,1.000000000000000000e+00
2.024435851000000142e+01,4.604755673999999743e+01,3.095908831000000418e+02,4.900000000000000000e+01,7.178240741000000646e+00,5.398854000080000048e+01,1.000000000000000000e+00
2.251812036999999833e+01,8.034808569000000489e+01,4.034965449999999976e+01,7.620833333000000209e+01,2.142592593000000267e+00,6.037998523329999756e+01,1.000000000000000000e+00
2.238980995000000007e+01,9.458780086999999526e+01,8.460080444999999827e+01,5.152499999999999858e+01,5.501851852000000598e+00,2.094123722169999979e+01,1.000000000000000000e+00
2.213048135000000016e+01,1.759034401999999773e+02,3.329866660000000138e+02,5.962500000000000000e+01,-9.204629629999999452e+00,6.552383356500000389e+01,1.000000000000000000e+00
2.473179365000000018e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.606666667000000359e+01,1.571759259000000064e+01,2.387289832500000131e+01,0.000000000000000000e+00
2.088715569000000016e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.015000000000000568e+01,-3.958796296000000048e+00,3.927714694419999830e+01,1.000000000000000000e+00
1.485764424000000083e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.524166667000000075e+01,-3.700000000000000178e+00,1.564999046420000006e+01,0.000000000000000000e+00
2.298624411999999850e+01,1.553739650999999924e+02,4.003082607000000053e+02,6.634999999999999432e+01,2.260648148000000024e+00,3.148761526830000079e+01,1.000000000000000000e+00
2.618863492999999920e+01,1.990457801000000018e+02,3.210562156000000300e+02,5.530833333000000351e+01,2.046157407000000106e+01,2.445974216169999949e+01,0.000000000000000000e+00
2.299494934000000157e+01,1.547113371000000086e+02,4.825948411000000604e+00,7.364166667000000643e+01,9.147685185000000274e+00,2.152516342670000071e+01,1.000000000000000000e+00
2.294708560000000119e+01,9.228083635000000129e+01,2.169146266999999906e+00,8.677500000000000568e+01,4.574074073999999435e+00,3.577471944420000227e+01,1.000000000000000000e+00
2.102132788999999846e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.813333332999999925e+01,1.796296300000000123e-01,3.792428092080000113e+01,1.000000000000000000e+00
2.071887255000000039e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.984166666999999507e+01,-9.250000000000000444e-01,3.974636777919999986e+01,1.000000000000000000e+00
2.272855064999999897e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.391666666999999791e+01,-3.111574073999999968e+00,5.485354199079999660e+01,1.000000000000000000e+00
2.419231106000000153e+01,8.283785300000000973e+01,9.809547409999999079e-01,9.049166667000000075e+01,1.361574073999999968e+01,1.354314072730000085e+01,5.833333333000000342e-01
1.920130769000000015e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.842499999999999716e+01,-7.920833332999999143e+00,3.051325647170000011e+01,1.000000000000000000e+00
2.085748071000000081e+01,1.272232194000000192e+02,4.352297443000000321e+00,9.228333333000000493e+01,1.423981481999999943e+01,2.131149790329999760e+01,5.833333333000000342e-01
2.227804868999999854e+01,3.205415201000000280e+01,3.250749370000000082e-01,7.224166667000000075e+01,4.319447550000000136e-01,4.032502999919999809e+01,1.000000000000000000e+00
2.268449951999999925e+01,9.629120629999999847e-01,1.298632475999999869e+00,4.998333333000000067e+01,4.098148147999999935e+00,4.297096555579999944e+01,1.000000000000000000e+00
2.381157946000000081e+01,2.268283859999999947e+02,1.821564219999999921e+02,7.919166667000000359e+01,1.529629626000000009e+01,2.301848007919999972e+01,0.000000000000000000e+00
1.971208093999999988e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.775833332999999925e+01,3.910648147999999935e+00,1.945596928249999991e+01,1.000000000000000000e+00
2.294504955000000024e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.718333332999999641e+01,1.346805555000000076e+01,2.386047917920000216e+01,0.000000000000000000e+00
2.112189920999999870e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.656666667000000359e+01,-1.217129630000000073e+00,3.799109753750000351e+01,1.000000000000000000e+00
2.137731313000000100e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.699166667000000075e+01,1.547685184999999963e+00,3.613999058000000275e+01,1.000000000000000000e+00
2.285088212000000141e+01,5.661082617000000283e+01,1.836521851999999955e+00,9.326666667000000643e+01,4.616203704000000130e+00,4.822656675999999720e+01,1.000000000000000000e+00
1.875596774999999994e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.697499999999999432e+01,-2.585648148000000202e+00,3.177798954580000057e+01,1.000000000000000000e+00
2.185654285000000030e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.713333332999999925e+01,1.820370370000000015e+00,3.383276809750000069e+01,1.000000000000000000e+00
2.363801285999999990e+01,8.574429087000000393e+00,1.486643165000000089e+01,5.164999999999999858e+01,1.215462963000000052e+01,2.293774833830000048e+01,1.000000000000000000e+00
2.144179654999999940e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.389166667000000643e+01,6.910185184999999564e+00,3.653051086579999662e+01,1.000000000000000000e+00
1.918660150999999914e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.237500000000000000e+01,1.241666667000000057e+00,2.899647242170000183e+01,1.000000000000000000e+00
2.069652548999999908e+01,1.104837815999999862e+02,1.181313959999999996e+00,8.363333332999999925e+01,5.333333332999999676e+00,2.219063543829999929e+01,1.000000000000000000e+00
2.136614511000000149e+01,2.029579907000000016e+00,1.020780597000000123e+00,9.079166666999999791e+01,1.778240740999999847e+00,5.825588129500000178e+01,1.000000000000000000e+00
2.213401556000000170e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.349166667000000075e+01,6.537499999999999645e+00,2.114474906919999952e+01,1.000000000000000000e+00
2.155344579000000138e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.990000000000000568e+01,6.407407407000000887e+00,2.968593724999999850e+01,1.000000000000000000e+00
2.414312587999999948e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.695833333000000209e+01,1.688518518000000057e+01,2.331392730419999992e+01,0.000000000000000000e+00
2.299628036000000009e+01,6.088715932000000208e+01,6.664038202999999605e+00,7.799166667000000075e+01,-1.027314814999999992e+00,5.475118384249999792e+01,1.000000000000000000e+00
2.477862498000000002e+01,2.857599318000000039e+02,4.108589601000000471e+02,6.706666667000000359e+01,1.741481482000000014e+01,2.356162403579999776e+01,0.000000000000000000e+00
2.189310723999999908e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.409999999999999432e+01,1.264583333999999937e+01,2.122791362919999969e+01,0.000000000000000000e+00
2.035469928999999922e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.056666666999999649e+01,-1.514814815000000037e+00,3.445254625919999825e+01,1.000000000000000000e+00
2.102132788999999846e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.813333332999999925e+01,1.796296300000000123e-01,3.792428092080000113e+01,1.000000000000000000e+00
2.311986220000000003e+01,1.604486900999999932e+02,2.437640044000000117e+01,8.273333332999999357e+01,5.510648147999999580e+00,3.426171686080000001e+01,1.000000000000000000e+00
2.208191173000000163e+01,1.827821265999999696e+02,4.504218617999999879e+02,5.360000000000000142e+01,-1.628240740999999936e+00,4.441793858249999971e+01,1.000000000000000000e+00
2.365070473999999834e+01,1.186832263000000012e+02,7.865999144999999544e+02,5.558333333000000209e+01,8.921296295999999515e+00,2.328697155920000128e+01,1.000000000000000000e+00
2.034760971000000040e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.107500000000000284e+01,1.168796296000000012e+01,1.966748173999999949e+01,1.000000000000000000e+00
1.843907107000000067e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.900000000000000000e+01,-7.321759258999999354e+00,3.351611367079999582e+01,1.000000000000000000e+00
2.521674622999999826e+01,2.518471819000000096e+02,5.036240690000000200e+02,6.262500000000000000e+01,1.848171321999999961e+01,2.366734629579999805e+01,0.000000000000000000e+00
2.131542164000000028e+01,1.990334903000000111e+01,4.078048360000000039e-01,9.357500000000000284e+01,1.457777777999999991e+01,2.235585902249999890e+01,0.000000000000000000e+00
2.240553550000000271e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.479166666999999791e+01,7.564814819999999829e-01,3.240349696829999715e+01,1.000000000000000000e+00
2.275305585999999991e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.704999999999999716e+01,1.424629630000000091e+01,2.343418128669999945e+01,0.000000000000000000e+00
2.090751000000000204e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.954166666999999791e+01,6.955092592999999823e+00,3.660755919830000238e+01,1.000000000000000000e+00
2.233416610000000091e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.855833332999999641e+01,7.474999999999999645e+00,3.143047215670000227e+01,1.000000000000000000e+00
2.011275283999999886e+01,3.720778076999999939e+01,3.810322213999999690e+02,8.122499999999999432e+01,5.236111111000000484e+00,5.186540356580000122e+01,1.000000000000000000e+00
2.162065357999999904e+01,9.359331392999999366e+01,5.454481504000000314e+01,7.970000000000000284e+01,-1.069814814999999975e+01,6.536372504579999543e+01,1.000000000000000000e+00
2.146910839999999610e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.187500000000000000e+01,5.716666667000000146e+00,3.302907341249999718e+01,1.000000000000000000e+00
